127/6848, 659.58, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '7.46', 0.9046862125396729)]
128/6848, 663.75, 195, [([[26, 30], [70, 30], [70, 54], [26, 54]], '7.46', 0.8388817225551545)]
129/6848, 676.25, 195, [([[26, 30], [70, 30], [70, 54], [26, 54]], '7.46', 0.5518016798628987)]
130/6848, 680.42, 195, [([[26, 30], [70, 30], [70, 54], [26, 54]], '7.46', 0.9778288793478047)]
131/6848, 685.0, 195, [([[26, 30], [70, 30], [70, 54], [26, 54]], '7.46', 0.9919273853302002)]
132/6848, 689.17, 195, [([[26, 30], [70, 30], [70, 54], [26, 54]], '7.46', 0.8628832716495054)]
133/6848, 693.33, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.6137895386054466)]
134/6848, 697.5, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.4762785881184778)]
135/6848, 701.67, 195, [([[26, 30], [70, 30], [70, 54], [26, 54]], '7.46', 0.9518924063191595)]
136/6848, 705.83, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.9600226310078472)]
137/6848, 710.0, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.9983981251716614)]
138/6848, 718.33, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.9783368838078282)]
139/6848, 726.67, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.8547181498477244)]
140/6848, 730.83, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.7755217670729897)]
141/6848, 735.0, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.8589319605753736)]
142/6848, 747.5, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.9799349385611763)]
143/6848, 751.67, 195, [([[25, 33], [69, 33], [69, 53], [25, 53]], '7.46', 0.6141071638192693)]
144/6848, 755.83, 195, [([[24, 30], [70, 30], [70, 54], [24, 54]], '7.46', 0.6375968879116988)]
